,TR_2anos,TR_5anos,TR_10anos,TR_20anos,TR_50anos,TR_100anos
1d,1.2152355885369266,1.2317673339674333,1.235165365824052,1.2365137448333818,1.2371767135304672,1.2373598488799316
2d,0.9529070899198908,1.0952170746664331,1.151800419166552,1.1884791173307285,1.2191937659213556,1.234041616122161
3d,1.1104787472999145,1.112547583201174,1.112564926684579,1.1125656709877054,1.1125657086311402,1.112565709365883
5d,0.6285437905712771,0.7313389373948167,0.7684656828602977,0.7908476740263305,0.8081559560630855,0.8158642052823235
7d,0.7918045797217383,0.7925275494835262,0.7925324437012862,0.7925326256043776,0.7925326335879131,0.7925326337186475
10d,0.4733948659638059,0.5479378889895117,0.5748423084922158,0.5910533659874405,0.6035825035119539,0.6091591004892778
15d,0.5711308053057462,0.5713874758064195,0.5713882193137674,0.571388234964671,0.5713882353581703,0.5713882353613804
20d,0.35503805593872306,0.4156184434908112,0.44047868106568017,0.4569841044784143,0.47117451431972973,0.47822205696311826
30d,0.31638514880928365,0.36493998636702574,0.3834231322420483,0.39501632299106265,0.40437964033961904,0.40874080065914675
