1	697213.611021	8791487.788683		51.261	
2	697188.433711	8791459.605126		47.237	
3	697164.007961	8791441.567650		47.372	
4	697134.321281	8791417.141900		47.776	
5	697121.544735	8791388.582563		50.126	
6	697104.258820	8791354.762294		54.071	
7	697091.106494	8791330.712326		56.190	
8	697081.711975	8791316.056876		57.509	
9	697112.525997	8791287.121758		59.015	
10	697145.218923	8791256.683516		62.176	
11	697171.147796	8791226.621055		61.803	
12	697190.312614	8791214.220290		60.358	
13	697209.101652	8791223.614809		60.146	
14	697226.011786	8791234.136671		59.902	
15	697245.928167	8791251.422585		59.604	
16	697262.086739	8791262.696008		59.156	
17	697272.608601	8791273.217869		58.385	
18	697283.506243	8791289.376442		57.663	
19	697296.658569	8791310.044384		56.449	
20	697312.065580	8791329.960764		55.500	
21	697321.835880	8791341.234187		55.642	
22	697292.149200	8791375.430236		64.612	
23	697283.506243	8791384.073193		64.977	
24	697275.239066	8791394.595055		64.244	
25	697265.468766	8791402.110670		64.674	
26	697257.201589	8791416.390339		64.123	
27	697248.182851	8791428.415323		60.754	
28	697239.164113	8791443.446553		56.878	
29	697232.775840	8791453.216853		54.083	
30	697229.018033	8791459.980907		52.573	
31	697224.884444	8791467.872303		51.484	
32	697220.375075	8791475.012137		49.903	
33	697216.241487	8791481.024629		50.430	
